7/16/2022	UBER *TRIP HELP.UBER.COM NLD 38,54 RON	€8.05
7/16/2022	UBER *TRIP HELP.UBER.C AMSTERDAM NLD 37,88 RON	€7.91
7/16/2022	UBER *TRIP HELP.UBER.COM NLD 33,08 RON	€6.91
7/16/2022	UBER *TRIP HELP.UBER.C AMSTERDAM NLD 25,60 RON	€5.34
7/17/2022	UBER *TRIP HELP.UBER.COM NLD 39,06 RON	€8.16
7/17/2022	UBER *TRIP HELP.UBER.COM NLD 38,30 RON	€8.00
7/17/2022	BOLT.EU/O/2207171724 TALLINN EST 32,00 RON	€6.69
7/17/2022	UBER *TRIP HELP.UBER.COM NLD 22,99 RON	€4.80
7/17/2022	UBER *TRIP HELP.UBER.COM NLD 19,45 RON	€4.05
7/17/2022	DGITL SECTOR 4 BUCURESTI ROM 7,00 RON	€1.45
7/17/2022	DGITL SECTOR 4 BUCURESTI ROM 7,00 RON	€1.45
7/18/2022	HOTEL ON BOOKING.COM AMSTERDAM NLD 1.875,07 RON	€391.81
7/18/2022	STB SA BUCURESTI ROM 6,00 RON	€1.25
7/19/2022	UBER *TRIP HELP.UBER.COM NLD 105,26 RON	€22.02
7/19/2022	UBER *TRIP HELP.UBER.COM NLD 34,13 RON	€7.14
7/19/2022	UBER *TRIP HELP.UBER.C AMSTERDAM NLD 30,29 RON	€6.33
7/19/2022	UBER *TRIP HELP.UBER.COM NLD 29,94 RON	€6.26
7/19/2022	UBER *TRIP HELP.UBER.COM NLD 15,00 RON	€3.14
7/19/2022	UBER *TRIP HELP.UBER.COM NLD 14,09 RON	€2.94
7/19/2022	UBER *TRIP HELP.UBER.COM NLD 13,50 RON	€2.82
7/20/2022	PAYU*FRESHFUL.RO ROMANIA ROM 195,63 RON	€41.02
7/21/2022	UBER *TRIP HELP.UBER.COM NLD 23,80 RON	€4.96
7/21/2022	UBER *TRIP HELP.UBER.COM NLD 21,87 RON	€4.55
7/21/2022	UBER *TRIP HELP.UBER.COM NLD 20,75 RON	€4.32
7/21/2022	UBER *TRIP HELP.UBER.COM NLD 19,60 RON	€4.09
7/21/2022	UBER *TRIP HELP.UBER.COM NLD 19,52 RON	€4.06
7/21/2022	UBER *TRIP HELP.UBER.COM NLD 18,13 RON	€3.78
